,Station,Arrive,Depart,Train,index
895,新橋,2021-11-30 06:55:00,2021-11-30 06:55:00,06-18-小田原-普通,7.0
2554,新橋,2021-11-30 06:56:00,2021-11-30 06:56:00,06-18-小田原-普通,7.5
896,品川,2021-11-30 07:01:00,2021-11-30 07:01:00,06-18-小田原-普通,8.0
2555,品川,2021-11-30 07:02:00,2021-11-30 07:02:00,06-18-小田原-普通,8.5
897,川崎,2021-11-30 07:11:00,2021-11-30 07:11:00,06-18-小田原-普通,9.0
898,横浜,2021-11-30 07:19:00,2021-11-30 07:19:00,06-18-小田原-普通,10.0
2556,横浜,2021-11-30 07:20:00,2021-11-30 07:20:00,06-18-小田原-普通,10.5
899,戸塚,2021-11-30 07:29:00,2021-11-30 07:29:00,06-18-小田原-普通,11.0
2557,戸塚,2021-11-30 07:30:00,2021-11-30 07:30:00,06-18-小田原-普通,11.5
900,大船,2021-11-30 07:35:00,2021-11-30 07:35:00,06-18-小田原-普通,12.0
2558,大船,2021-11-30 07:36:00,2021-11-30 07:36:00,06-18-小田原-普通,12.5
901,藤沢,2021-11-30 07:40:00,2021-11-30 07:40:00,06-18-小田原-普通,13.0
902,辻堂,2021-11-30 07:44:00,2021-11-30 07:44:00,06-18-小田原-普通,14.0
903,茅ケ崎,2021-11-30 07:48:00,2021-11-30 07:48:00,06-18-小田原-普通,15.0
2559,茅ケ崎,2021-11-30 07:49:00,2021-11-30 07:49:00,06-18-小田原-普通,15.5
904,平塚,2021-11-30 07:53:00,2021-11-30 07:53:00,06-18-小田原-普通,16.0
2560,平塚,2021-11-30 07:54:00,2021-11-30 07:54:00,06-18-小田原-普通,16.5
905,大磯,2021-11-30 07:57:00,2021-11-30 07:57:00,06-18-小田原-普通,17.0
2561,大磯,2021-11-30 07:58:00,2021-11-30 07:58:00,06-18-小田原-普通,17.5
906,二宮,2021-11-30 08:02:00,2021-11-30 08:02:00,06-18-小田原-普通,18.0
907,国府津,2021-11-30 08:06:00,2021-11-30 08:06:00,06-18-小田原-普通,19.0
2562,国府津,2021-11-30 08:07:00,2021-11-30 08:07:00,06-18-小田原-普通,19.5
908,鴨宮,2021-11-30 08:10:00,2021-11-30 08:10:00,06-18-小田原-普通,20.0
909,小田原,2021-11-30 08:14:00,,06-18-小田原-普通,21.0
845,大宮(埼玉),2021-11-30 06:25:00,2021-11-30 06:25:00,06-26-熱海-普通,0.0
846,さいたま新都心,2021-11-30 06:29:00,2021-11-30 06:29:00,06-26-熱海-普通,1.0
847,浦和,2021-11-30 06:33:00,2021-11-30 06:33:00,06-26-熱海-普通,2.0
2529,浦和,2021-11-30 06:34:00,2021-11-30 06:34:00,06-26-熱海-普通,2.5
848,赤羽,2021-11-30 06:42:00,2021-11-30 06:42:00,06-26-熱海-普通,3.0
849,尾久,2021-11-30 06:46:00,2021-11-30 06:46:00,06-26-熱海-普通,4.0
2530,尾久,2021-11-30 06:47:00,2021-11-30 06:47:00,06-26-熱海-普通,4.5
