,Station,Arrive,Depart,Train,index,Station_sequence
2560,平塚,2021-11-30 07:54:00,2021-11-30 07:54:00,06-18-小田原-普通,16.5,平塚
905,大磯,2021-11-30 07:57:00,2021-11-30 07:57:00,06-18-小田原-普通,17.0,大磯
2561,大磯,2021-11-30 07:58:00,2021-11-30 07:58:00,06-18-小田原-普通,17.5,大磯
906,二宮,2021-11-30 08:02:00,2021-11-30 08:02:00,06-18-小田原-普通,18.0,二宮
907,国府津,2021-11-30 08:06:00,2021-11-30 08:06:00,06-18-小田原-普通,19.0,国府津
2562,国府津,2021-11-30 08:07:00,2021-11-30 08:07:00,06-18-小田原-普通,19.5,国府津
908,鴨宮,2021-11-30 08:10:00,2021-11-30 08:10:00,06-18-小田原-普通,20.0,鴨宮
909,小田原,2021-11-30 08:14:00,,06-18-小田原-普通,21.0,小田原
845,大宮(埼玉),2021-11-30 06:25:00,2021-11-30 06:25:00,06-26-熱海-普通,0.0,大宮(埼玉)
846,さいたま新都心,2021-11-30 06:29:00,2021-11-30 06:29:00,06-26-熱海-普通,1.0,さいたま新都心
847,浦和,2021-11-30 06:33:00,2021-11-30 06:33:00,06-26-熱海-普通,2.0,浦和
2529,浦和,2021-11-30 06:34:00,2021-11-30 06:34:00,06-26-熱海-普通,2.5,浦和
848,赤羽,2021-11-30 06:42:00,2021-11-30 06:42:00,06-26-熱海-普通,3.0,赤羽
849,尾久,2021-11-30 06:46:00,2021-11-30 06:46:00,06-26-熱海-普通,4.0,尾久/池袋
2530,尾久,2021-11-30 06:47:00,2021-11-30 06:47:00,06-26-熱海-普通,4.5,尾久/池袋
850,上野,2021-11-30 06:53:00,2021-11-30 06:53:00,06-26-熱海-普通,5.0,上野/新宿
2531,上野,2021-11-30 06:54:00,2021-11-30 06:54:00,06-26-熱海-普通,5.5,上野/新宿
851,東京,2021-11-30 06:59:00,2021-11-30 06:59:00,06-26-熱海-普通,6.0,東京/渋谷
2532,東京,2021-11-30 07:01:00,2021-11-30 07:01:00,06-26-熱海-普通,6.5,東京/渋谷
852,新橋,2021-11-30 07:03:00,2021-11-30 07:03:00,06-26-熱海-普通,7.0,新橋/恵比寿
2533,新橋,2021-11-30 07:04:00,2021-11-30 07:04:00,06-26-熱海-普通,7.5,新橋/恵比寿
853,品川,2021-11-30 07:09:00,2021-11-30 07:09:00,06-26-熱海-普通,8.0,品川/大崎
2534,品川,2021-11-30 07:10:00,2021-11-30 07:10:00,06-26-熱海-普通,8.5,品川/大崎
854,川崎,2021-11-30 07:19:00,2021-11-30 07:19:00,06-26-熱海-普通,9.0,川崎/武蔵小杉
855,横浜,2021-11-30 07:27:00,2021-11-30 07:27:00,06-26-熱海-普通,10.0,横浜
2535,横浜,2021-11-30 07:28:00,2021-11-30 07:28:00,06-26-熱海-普通,10.5,横浜
856,戸塚,2021-11-30 07:38:00,2021-11-30 07:38:00,06-26-熱海-普通,11.0,戸塚
857,大船,2021-11-30 07:43:00,2021-11-30 07:43:00,06-26-熱海-普通,12.0,大船
2536,大船,2021-11-30 07:44:00,2021-11-30 07:44:00,06-26-熱海-普通,12.5,大船
858,藤沢,2021-11-30 07:48:00,2021-11-30 07:48:00,06-26-熱海-普通,13.0,藤沢
2537,藤沢,2021-11-30 07:49:00,2021-11-30 07:49:00,06-26-熱海-普通,13.5,藤沢
859,辻堂,2021-11-30 07:53:00,2021-11-30 07:53:00,06-26-熱海-普通,14.0,辻堂
860,茅ケ崎,2021-11-30 07:57:00,2021-11-30 07:57:00,06-26-熱海-普通,15.0,茅ケ崎
861,平塚,2021-11-30 08:02:00,2021-11-30 08:02:00,06-26-熱海-普通,16.0,平塚
2538,平塚,2021-11-30 08:04:00,2021-11-30 08:04:00,06-26-熱海-普通,16.5,平塚
862,大磯,2021-11-30 08:08:00,2021-11-30 08:08:00,06-26-熱海-普通,17.0,大磯
863,二宮,2021-11-30 08:13:00,2021-11-30 08:13:00,06-26-熱海-普通,18.0,二宮
864,国府津,2021-11-30 08:17:00,2021-11-30 08:17:00,06-26-熱海-普通,19.0,国府津
2539,国府津,2021-11-30 08:18:00,2021-11-30 08:18:00,06-26-熱海-普通,19.5,国府津
865,鴨宮,2021-11-30 08:22:00,2021-11-30 08:22:00,06-26-熱海-普通,20.0,鴨宮
866,小田原,2021-11-30 08:26:00,2021-11-30 08:26:00,06-26-熱海-普通,21.0,小田原
2540,小田原,2021-11-30 08:30:00,2021-11-30 08:30:00,06-26-熱海-普通,21.5,小田原
867,早川,2021-11-30 08:32:00,2021-11-30 08:32:00,06-26-熱海-普通,22.0,早川
2541,早川,2021-11-30 08:33:00,2021-11-30 08:33:00,06-26-熱海-普通,22.5,早川
868,根府川,2021-11-30 08:39:00,2021-11-30 08:39:00,06-26-熱海-普通,23.0,根府川
2542,根府川,2021-11-30 08:43:00,2021-11-30 08:43:00,06-26-熱海-普通,23.5,根府川
869,真鶴,2021-11-30 08:48:00,2021-11-30 08:48:00,06-26-熱海-普通,24.0,真鶴
870,湯河原,2021-11-30 08:52:00,2021-11-30 08:52:00,06-26-熱海-普通,25.0,湯河原
871,熱海,2021-11-30 08:59:00,,06-26-熱海-普通,26.0,熱海
647,大宮(埼玉),2021-11-30 06:36:00,2021-11-30 06:36:00,06-37-上野-普通,0.0,大宮(埼玉)
648,さいたま新都心,2021-11-30 06:39:00,2021-11-30 06:39:00,06-37-上野-普通,1.0,さいたま新都心
2426,さいたま新都心,2021-11-30 06:40:00,2021-11-30 06:40:00,06-37-上野-普通,1.5,さいたま新都心
649,浦和,2021-11-30 06:44:00,2021-11-30 06:44:00,06-37-上野-普通,2.0,浦和
650,赤羽,2021-11-30 06:52:00,2021-11-30 06:52:00,06-37-上野-普通,3.0,赤羽
651,尾久,2021-11-30 06:57:00,2021-11-30 06:57:00,06-37-上野-普通,4.0,尾久/池袋
652,上野,2021-11-30 07:02:00,,06-37-上野-普通,5.0,上野/新宿
822,大宮(埼玉),2021-11-30 06:40:00,2021-11-30 06:40:00,06-41-上野-スワローあかぎ,0.0,大宮(埼玉)
823,浦和,2021-11-30 06:47:00,2021-11-30 06:47:00,06-41-上野-スワローあかぎ,1.0,浦和
2518,浦和,2021-11-30 06:48:00,2021-11-30 06:48:00,06-41-上野-スワローあかぎ,1.5,浦和
824,赤羽,2021-11-30 06:55:00,2021-11-30 06:55:00,06-41-上野-スワローあかぎ,2.0,赤羽
2519,赤羽,2021-11-30 06:56:00,2021-11-30 06:56:00,06-41-上野-スワローあかぎ,2.5,赤羽
825,上野,2021-11-30 07:05:00,,06-41-上野-スワローあかぎ,3.0,上野/新宿
1131,大宮(埼玉),2021-11-30 06:44:00,2021-11-30 06:44:00,06-45-国府津-普通,0.0,大宮(埼玉)
1132,さいたま新都心,2021-11-30 06:47:00,2021-11-30 06:47:00,06-45-国府津-普通,1.0,さいたま新都心
2690,さいたま新都心,2021-11-30 06:48:00,2021-11-30 06:48:00,06-45-国府津-普通,1.5,さいたま新都心
1133,浦和,2021-11-30 06:52:00,2021-11-30 06:52:00,06-45-国府津-普通,2.0,浦和
1134,赤羽,2021-11-30 07:00:00,2021-11-30 07:00:00,06-45-国府津-普通,3.0,赤羽
2691,赤羽,2021-11-30 07:01:00,2021-11-30 07:01:00,06-45-国府津-普通,3.5,赤羽
1135,尾久,2021-11-30 07:05:00,2021-11-30 07:05:00,06-45-国府津-普通,4.0,尾久/池袋
1136,上野,2021-11-30 07:11:00,2021-11-30 07:11:00,06-45-国府津-普通,5.0,上野/新宿
2692,上野,2021-11-30 07:12:00,2021-11-30 07:12:00,06-45-国府津-普通,5.5,上野/新宿
1137,東京,2021-11-30 07:16:00,2021-11-30 07:16:00,06-45-国府津-普通,6.0,東京/渋谷
2693,東京,2021-11-30 07:17:00,2021-11-30 07:17:00,06-45-国府津-普通,6.5,東京/渋谷
1138,新橋,2021-11-30 07:20:00,2021-11-30 07:20:00,06-45-国府津-普通,7.0,新橋/恵比寿
1139,品川,2021-11-30 07:25:00,2021-11-30 07:25:00,06-45-国府津-普通,8.0,品川/大崎
2694,品川,2021-11-30 07:26:00,2021-11-30 07:26:00,06-45-国府津-普通,8.5,品川/大崎
1140,川崎,2021-11-30 07:35:00,2021-11-30 07:35:00,06-45-国府津-普通,9.0,川崎/武蔵小杉
2695,川崎,2021-11-30 07:36:00,2021-11-30 07:36:00,06-45-国府津-普通,9.5,川崎/武蔵小杉
1141,横浜,2021-11-30 07:43:00,2021-11-30 07:43:00,06-45-国府津-普通,10.0,横浜
2696,横浜,2021-11-30 07:44:00,2021-11-30 07:44:00,06-45-国府津-普通,10.5,横浜
1142,戸塚,2021-11-30 07:54:00,2021-11-30 07:54:00,06-45-国府津-普通,11.0,戸塚
2697,戸塚,2021-11-30 07:55:00,2021-11-30 07:55:00,06-45-国府津-普通,11.5,戸塚
1143,大船,2021-11-30 08:00:00,2021-11-30 08:00:00,06-45-国府津-普通,12.0,大船
2698,大船,2021-11-30 08:01:00,2021-11-30 08:01:00,06-45-国府津-普通,12.5,大船
1144,藤沢,2021-11-30 08:06:00,2021-11-30 08:06:00,06-45-国府津-普通,13.0,藤沢
1145,辻堂,2021-11-30 08:10:00,2021-11-30 08:10:00,06-45-国府津-普通,14.0,辻堂
