,Station,Arrive,Depart,Train,index,Station_sequence
2128,新宿,2021-11-30 07:55:00,2021-11-30 07:55:00,07-21-小田原-快速,4.5,上野/新宿
107,渋谷,2021-11-30 07:59:00,2021-11-30 07:59:00,07-21-小田原-快速,5.0,東京/渋谷
2129,渋谷,2021-11-30 08:00:00,2021-11-30 08:00:00,07-21-小田原-快速,5.5,東京/渋谷
108,恵比寿,2021-11-30 08:02:00,2021-11-30 08:02:00,07-21-小田原-快速,6.0,新橋/恵比寿
109,大崎,2021-11-30 08:06:00,2021-11-30 08:06:00,07-21-小田原-快速,7.0,品川/大崎
2130,大崎,2021-11-30 08:09:00,2021-11-30 08:09:00,07-21-小田原-快速,7.5,品川/大崎
110,武蔵小杉,2021-11-30 08:17:00,2021-11-30 08:17:00,07-21-小田原-快速,8.0,川崎/武蔵小杉
2131,武蔵小杉,2021-11-30 08:18:00,2021-11-30 08:18:00,07-21-小田原-快速,8.5,川崎/武蔵小杉
111,横浜,2021-11-30 08:29:00,2021-11-30 08:29:00,07-21-小田原-快速,9.0,横浜
2132,横浜,2021-11-30 08:30:00,2021-11-30 08:30:00,07-21-小田原-快速,9.5,横浜
112,戸塚,2021-11-30 08:42:00,2021-11-30 08:42:00,07-21-小田原-快速,10.0,戸塚
113,大船,2021-11-30 08:47:00,2021-11-30 08:47:00,07-21-小田原-快速,11.0,大船
2133,大船,2021-11-30 08:48:00,2021-11-30 08:48:00,07-21-小田原-快速,11.5,大船
114,藤沢,2021-11-30 08:52:00,2021-11-30 08:52:00,07-21-小田原-快速,12.0,藤沢
2134,藤沢,2021-11-30 08:53:00,2021-11-30 08:53:00,07-21-小田原-快速,12.5,藤沢
115,辻堂,2021-11-30 08:56:00,2021-11-30 08:56:00,07-21-小田原-快速,13.0,辻堂
116,茅ケ崎,2021-11-30 08:59:00,2021-11-30 08:59:00,07-21-小田原-快速,14.0,茅ケ崎
2135,茅ケ崎,2021-11-30 09:00:00,2021-11-30 09:00:00,07-21-小田原-快速,14.5,茅ケ崎
117,平塚,2021-11-30 09:04:00,2021-11-30 09:04:00,07-21-小田原-快速,15.0,平塚
2136,平塚,2021-11-30 09:05:00,2021-11-30 09:05:00,07-21-小田原-快速,15.5,平塚
118,大磯,2021-11-30 09:08:00,2021-11-30 09:08:00,07-21-小田原-快速,16.0,大磯
119,二宮,2021-11-30 09:13:00,2021-11-30 09:13:00,07-21-小田原-快速,17.0,二宮
120,国府津,2021-11-30 09:17:00,2021-11-30 09:17:00,07-21-小田原-快速,18.0,国府津
2137,国府津,2021-11-30 09:18:00,2021-11-30 09:18:00,07-21-小田原-快速,18.5,国府津
121,鴨宮,2021-11-30 09:21:00,2021-11-30 09:21:00,07-21-小田原-快速,19.0,鴨宮
2138,鴨宮,2021-11-30 09:22:00,2021-11-30 09:22:00,07-21-小田原-快速,19.5,鴨宮
122,小田原,2021-11-30 09:26:00,,07-21-小田原-快速,20.0,小田原
1530,大宮(埼玉),2021-11-30 07:38:00,2021-11-30 07:38:00,07-39-国府津-快速,0.0,大宮(埼玉)
1531,浦和,2021-11-30 07:44:00,2021-11-30 07:44:00,07-39-国府津-快速,1.0,浦和
2903,浦和,2021-11-30 07:45:00,2021-11-30 07:45:00,07-39-国府津-快速,1.5,浦和
1532,赤羽,2021-11-30 07:53:00,2021-11-30 07:53:00,07-39-国府津-快速,2.0,赤羽
2904,赤羽,2021-11-30 07:54:00,2021-11-30 07:54:00,07-39-国府津-快速,2.5,赤羽
