,Unnamed: 0,Station,Arrive,Depart,Train,index,Station_sequence
56,2559,茅ケ崎,2021-11-30 01:32:00,2021-11-30 07:49:00,06-18-小田原-普通,15.5,茅ケ崎
57,904,平塚,2021-11-30 01:36:00,2021-11-30 07:53:00,06-18-小田原-普通,16.0,平塚
58,2560,平塚,2021-11-30 01:37:00,2021-11-30 07:54:00,06-18-小田原-普通,16.5,平塚
59,905,大磯,2021-11-30 01:40:00,2021-11-30 07:57:00,06-18-小田原-普通,17.0,大磯
60,2561,大磯,2021-11-30 01:41:00,2021-11-30 07:58:00,06-18-小田原-普通,17.5,大磯
61,906,二宮,2021-11-30 01:45:00,2021-11-30 08:02:00,06-18-小田原-普通,18.0,二宮
62,907,国府津,2021-11-30 01:49:00,2021-11-30 08:06:00,06-18-小田原-普通,19.0,国府津
63,2562,国府津,2021-11-30 01:50:00,2021-11-30 08:07:00,06-18-小田原-普通,19.5,国府津
64,908,鴨宮,2021-11-30 01:53:00,2021-11-30 08:10:00,06-18-小田原-普通,20.0,鴨宮
65,909,小田原,2021-11-30 01:57:00,,06-18-小田原-普通,21.0,小田原
66,845,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 06:25:00,06-26-熱海-普通,0.0,大宮(埼玉)
67,846,さいたま新都心,2021-11-30 00:04:00,2021-11-30 06:29:00,06-26-熱海-普通,1.0,さいたま新都心
68,847,浦和,2021-11-30 00:08:00,2021-11-30 06:33:00,06-26-熱海-普通,2.0,浦和
69,2529,浦和,2021-11-30 00:09:00,2021-11-30 06:34:00,06-26-熱海-普通,2.5,浦和
70,848,赤羽,2021-11-30 00:17:00,2021-11-30 06:42:00,06-26-熱海-普通,3.0,赤羽
71,849,尾久,2021-11-30 00:21:00,2021-11-30 06:46:00,06-26-熱海-普通,4.0,尾久/池袋
72,2530,尾久,2021-11-30 00:22:00,2021-11-30 06:47:00,06-26-熱海-普通,4.5,尾久/池袋
73,850,上野,2021-11-30 00:28:00,2021-11-30 06:53:00,06-26-熱海-普通,5.0,上野/新宿
74,2531,上野,2021-11-30 00:29:00,2021-11-30 06:54:00,06-26-熱海-普通,5.5,上野/新宿
75,851,東京,2021-11-30 00:34:00,2021-11-30 06:59:00,06-26-熱海-普通,6.0,東京/渋谷
76,2532,東京,2021-11-30 00:36:00,2021-11-30 07:01:00,06-26-熱海-普通,6.5,東京/渋谷
77,852,新橋,2021-11-30 00:38:00,2021-11-30 07:03:00,06-26-熱海-普通,7.0,新橋/恵比寿
78,2533,新橋,2021-11-30 00:39:00,2021-11-30 07:04:00,06-26-熱海-普通,7.5,新橋/恵比寿
79,853,品川,2021-11-30 00:44:00,2021-11-30 07:09:00,06-26-熱海-普通,8.0,品川/大崎
80,2534,品川,2021-11-30 00:45:00,2021-11-30 07:10:00,06-26-熱海-普通,8.5,品川/大崎
81,854,川崎,2021-11-30 00:54:00,2021-11-30 07:19:00,06-26-熱海-普通,9.0,川崎/武蔵小杉
82,855,横浜,2021-11-30 01:02:00,2021-11-30 07:27:00,06-26-熱海-普通,10.0,横浜
83,2535,横浜,2021-11-30 01:03:00,2021-11-30 07:28:00,06-26-熱海-普通,10.5,横浜
84,856,戸塚,2021-11-30 01:13:00,2021-11-30 07:38:00,06-26-熱海-普通,11.0,戸塚
85,857,大船,2021-11-30 01:18:00,2021-11-30 07:43:00,06-26-熱海-普通,12.0,大船
86,2536,大船,2021-11-30 01:19:00,2021-11-30 07:44:00,06-26-熱海-普通,12.5,大船
87,858,藤沢,2021-11-30 01:23:00,2021-11-30 07:48:00,06-26-熱海-普通,13.0,藤沢
88,2537,藤沢,2021-11-30 01:24:00,2021-11-30 07:49:00,06-26-熱海-普通,13.5,藤沢
89,859,辻堂,2021-11-30 01:28:00,2021-11-30 07:53:00,06-26-熱海-普通,14.0,辻堂
90,860,茅ケ崎,2021-11-30 01:32:00,2021-11-30 07:57:00,06-26-熱海-普通,15.0,茅ケ崎
91,861,平塚,2021-11-30 01:37:00,2021-11-30 08:02:00,06-26-熱海-普通,16.0,平塚
92,2538,平塚,2021-11-30 01:39:00,2021-11-30 08:04:00,06-26-熱海-普通,16.5,平塚
93,862,大磯,2021-11-30 01:43:00,2021-11-30 08:08:00,06-26-熱海-普通,17.0,大磯
94,863,二宮,2021-11-30 01:48:00,2021-11-30 08:13:00,06-26-熱海-普通,18.0,二宮
95,864,国府津,2021-11-30 01:52:00,2021-11-30 08:17:00,06-26-熱海-普通,19.0,国府津
96,2539,国府津,2021-11-30 01:53:00,2021-11-30 08:18:00,06-26-熱海-普通,19.5,国府津
97,865,鴨宮,2021-11-30 01:57:00,2021-11-30 08:22:00,06-26-熱海-普通,20.0,鴨宮
98,866,小田原,2021-11-30 02:01:00,2021-11-30 08:26:00,06-26-熱海-普通,21.0,小田原
99,2540,小田原,2021-11-30 02:05:00,2021-11-30 08:30:00,06-26-熱海-普通,21.5,小田原
100,867,早川,2021-11-30 02:07:00,2021-11-30 08:32:00,06-26-熱海-普通,22.0,早川
101,2541,早川,2021-11-30 02:08:00,2021-11-30 08:33:00,06-26-熱海-普通,22.5,早川
102,868,根府川,2021-11-30 02:14:00,2021-11-30 08:39:00,06-26-熱海-普通,23.0,根府川
103,2542,根府川,2021-11-30 02:18:00,2021-11-30 08:43:00,06-26-熱海-普通,23.5,根府川
104,869,真鶴,2021-11-30 02:23:00,2021-11-30 08:48:00,06-26-熱海-普通,24.0,真鶴
105,870,湯河原,2021-11-30 02:27:00,2021-11-30 08:52:00,06-26-熱海-普通,25.0,湯河原
106,871,熱海,2021-11-30 02:34:00,,06-26-熱海-普通,26.0,熱海
107,647,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 06:36:00,06-37-上野-普通,0.0,大宮(埼玉)
108,648,さいたま新都心,2021-11-30 00:03:00,2021-11-30 06:39:00,06-37-上野-普通,1.0,さいたま新都心
109,2426,さいたま新都心,2021-11-30 00:04:00,2021-11-30 06:40:00,06-37-上野-普通,1.5,さいたま新都心
110,649,浦和,2021-11-30 00:08:00,2021-11-30 06:44:00,06-37-上野-普通,2.0,浦和
111,650,赤羽,2021-11-30 00:16:00,2021-11-30 06:52:00,06-37-上野-普通,3.0,赤羽
112,651,尾久,2021-11-30 00:21:00,2021-11-30 06:57:00,06-37-上野-普通,4.0,尾久/池袋
113,652,上野,2021-11-30 00:26:00,,06-37-上野-普通,5.0,上野/新宿
114,822,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 06:40:00,06-41-上野-スワローあかぎ,0.0,大宮(埼玉)
115,823,浦和,2021-11-30 00:07:00,2021-11-30 06:47:00,06-41-上野-スワローあかぎ,1.0,浦和
116,2518,浦和,2021-11-30 00:08:00,2021-11-30 06:48:00,06-41-上野-スワローあかぎ,1.5,浦和
117,824,赤羽,2021-11-30 00:15:00,2021-11-30 06:55:00,06-41-上野-スワローあかぎ,2.0,赤羽
118,2519,赤羽,2021-11-30 00:16:00,2021-11-30 06:56:00,06-41-上野-スワローあかぎ,2.5,赤羽
119,825,上野,2021-11-30 00:25:00,,06-41-上野-スワローあかぎ,3.0,上野/新宿
120,1131,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 06:44:00,06-45-国府津-普通,0.0,大宮(埼玉)
121,1132,さいたま新都心,2021-11-30 00:03:00,2021-11-30 06:47:00,06-45-国府津-普通,1.0,さいたま新都心
122,2690,さいたま新都心,2021-11-30 00:04:00,2021-11-30 06:48:00,06-45-国府津-普通,1.5,さいたま新都心
123,1133,浦和,2021-11-30 00:08:00,2021-11-30 06:52:00,06-45-国府津-普通,2.0,浦和
124,1134,赤羽,2021-11-30 00:16:00,2021-11-30 07:00:00,06-45-国府津-普通,3.0,赤羽
125,2691,赤羽,2021-11-30 00:17:00,2021-11-30 07:01:00,06-45-国府津-普通,3.5,赤羽
126,1135,尾久,2021-11-30 00:21:00,2021-11-30 07:05:00,06-45-国府津-普通,4.0,尾久/池袋
127,1136,上野,2021-11-30 00:27:00,2021-11-30 07:11:00,06-45-国府津-普通,5.0,上野/新宿
128,2692,上野,2021-11-30 00:28:00,2021-11-30 07:12:00,06-45-国府津-普通,5.5,上野/新宿
129,1137,東京,2021-11-30 00:32:00,2021-11-30 07:16:00,06-45-国府津-普通,6.0,東京/渋谷
130,2693,東京,2021-11-30 00:33:00,2021-11-30 07:17:00,06-45-国府津-普通,6.5,東京/渋谷
131,1138,新橋,2021-11-30 00:36:00,2021-11-30 07:20:00,06-45-国府津-普通,7.0,新橋/恵比寿
132,1139,品川,2021-11-30 00:41:00,2021-11-30 07:25:00,06-45-国府津-普通,8.0,品川/大崎
