,Unnamed: 0,Station,Arrive,Depart,Train,index,Station_sequence
55,105,池袋,2021-11-30 00:29:00,2021-11-30 07:48:00,07-21-小田原-快速,3.0,尾久/池袋
56,2127,池袋,2021-11-30 00:30:00,2021-11-30 07:49:00,07-21-小田原-快速,3.5,尾久/池袋
57,106,新宿,2021-11-30 00:35:00,2021-11-30 07:54:00,07-21-小田原-快速,4.0,上野/新宿
58,2128,新宿,2021-11-30 00:36:00,2021-11-30 07:55:00,07-21-小田原-快速,4.5,上野/新宿
59,107,渋谷,2021-11-30 00:40:00,2021-11-30 07:59:00,07-21-小田原-快速,5.0,東京/渋谷
60,2129,渋谷,2021-11-30 00:41:00,2021-11-30 08:00:00,07-21-小田原-快速,5.5,東京/渋谷
61,108,恵比寿,2021-11-30 00:43:00,2021-11-30 08:02:00,07-21-小田原-快速,6.0,新橋/恵比寿
62,109,大崎,2021-11-30 00:47:00,2021-11-30 08:06:00,07-21-小田原-快速,7.0,品川/大崎
63,2130,大崎,2021-11-30 00:50:00,2021-11-30 08:09:00,07-21-小田原-快速,7.5,品川/大崎
64,110,武蔵小杉,2021-11-30 00:58:00,2021-11-30 08:17:00,07-21-小田原-快速,8.0,川崎/武蔵小杉
65,2131,武蔵小杉,2021-11-30 00:59:00,2021-11-30 08:18:00,07-21-小田原-快速,8.5,川崎/武蔵小杉
66,111,横浜,2021-11-30 01:10:00,2021-11-30 08:29:00,07-21-小田原-快速,9.0,横浜
67,2132,横浜,2021-11-30 01:11:00,2021-11-30 08:30:00,07-21-小田原-快速,9.5,横浜
68,112,戸塚,2021-11-30 01:23:00,2021-11-30 08:42:00,07-21-小田原-快速,10.0,戸塚
69,113,大船,2021-11-30 01:28:00,2021-11-30 08:47:00,07-21-小田原-快速,11.0,大船
70,2133,大船,2021-11-30 01:29:00,2021-11-30 08:48:00,07-21-小田原-快速,11.5,大船
71,114,藤沢,2021-11-30 01:33:00,2021-11-30 08:52:00,07-21-小田原-快速,12.0,藤沢
72,2134,藤沢,2021-11-30 01:34:00,2021-11-30 08:53:00,07-21-小田原-快速,12.5,藤沢
73,115,辻堂,2021-11-30 01:37:00,2021-11-30 08:56:00,07-21-小田原-快速,13.0,辻堂
74,116,茅ケ崎,2021-11-30 01:40:00,2021-11-30 08:59:00,07-21-小田原-快速,14.0,茅ケ崎
75,2135,茅ケ崎,2021-11-30 01:41:00,2021-11-30 09:00:00,07-21-小田原-快速,14.5,茅ケ崎
76,117,平塚,2021-11-30 01:45:00,2021-11-30 09:04:00,07-21-小田原-快速,15.0,平塚
77,2136,平塚,2021-11-30 01:46:00,2021-11-30 09:05:00,07-21-小田原-快速,15.5,平塚
78,118,大磯,2021-11-30 01:49:00,2021-11-30 09:08:00,07-21-小田原-快速,16.0,大磯
79,119,二宮,2021-11-30 01:54:00,2021-11-30 09:13:00,07-21-小田原-快速,17.0,二宮
80,120,国府津,2021-11-30 01:58:00,2021-11-30 09:17:00,07-21-小田原-快速,18.0,国府津
81,2137,国府津,2021-11-30 01:59:00,2021-11-30 09:18:00,07-21-小田原-快速,18.5,国府津
82,121,鴨宮,2021-11-30 02:02:00,2021-11-30 09:21:00,07-21-小田原-快速,19.0,鴨宮
83,2138,鴨宮,2021-11-30 02:03:00,2021-11-30 09:22:00,07-21-小田原-快速,19.5,鴨宮
84,122,小田原,2021-11-30 02:07:00,,07-21-小田原-快速,20.0,小田原
85,1530,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 07:38:00,07-39-国府津-快速,0.0,大宮(埼玉)
86,1531,浦和,2021-11-30 00:06:00,2021-11-30 07:44:00,07-39-国府津-快速,1.0,浦和
87,2903,浦和,2021-11-30 00:07:00,2021-11-30 07:45:00,07-39-国府津-快速,1.5,浦和
88,1532,赤羽,2021-11-30 00:15:00,2021-11-30 07:53:00,07-39-国府津-快速,2.0,赤羽
89,2904,赤羽,2021-11-30 00:16:00,2021-11-30 07:54:00,07-39-国府津-快速,2.5,赤羽
90,1533,池袋,2021-11-30 00:27:00,2021-11-30 08:05:00,07-39-国府津-快速,3.0,尾久/池袋
91,2905,池袋,2021-11-30 00:28:00,2021-11-30 08:06:00,07-39-国府津-快速,3.5,尾久/池袋
92,1534,新宿,2021-11-30 00:33:00,2021-11-30 08:11:00,07-39-国府津-快速,4.0,上野/新宿
93,2906,新宿,2021-11-30 00:34:00,2021-11-30 08:12:00,07-39-国府津-快速,4.5,上野/新宿
94,1535,渋谷,2021-11-30 00:39:00,2021-11-30 08:17:00,07-39-国府津-快速,5.0,東京/渋谷
95,1536,恵比寿,2021-11-30 00:41:00,2021-11-30 08:19:00,07-39-国府津-快速,6.0,新橋/恵比寿
96,2907,恵比寿,2021-11-30 00:42:00,2021-11-30 08:20:00,07-39-国府津-快速,6.5,新橋/恵比寿
97,1537,大崎,2021-11-30 00:46:00,2021-11-30 08:24:00,07-39-国府津-快速,7.0,品川/大崎
98,1538,武蔵小杉,2021-11-30 00:56:00,2021-11-30 08:34:00,07-39-国府津-快速,8.0,川崎/武蔵小杉
99,2908,武蔵小杉,2021-11-30 00:57:00,2021-11-30 08:35:00,07-39-国府津-快速,8.5,川崎/武蔵小杉
100,1539,横浜,2021-11-30 01:08:00,2021-11-30 08:46:00,07-39-国府津-快速,9.0,横浜
101,2909,横浜,2021-11-30 01:09:00,2021-11-30 08:47:00,07-39-国府津-快速,9.5,横浜
102,1540,戸塚,2021-11-30 01:20:00,2021-11-30 08:58:00,07-39-国府津-快速,10.0,戸塚
103,2910,戸塚,2021-11-30 01:21:00,2021-11-30 08:59:00,07-39-国府津-快速,10.5,戸塚
104,1541,大船,2021-11-30 01:25:00,2021-11-30 09:03:00,07-39-国府津-快速,11.0,大船
105,2911,大船,2021-11-30 01:26:00,2021-11-30 09:04:00,07-39-国府津-快速,11.5,大船
